DungeonLevel,DungeonTimeLimit,KillMonsterCount,MonsterDataIdList,MonsterAtk,MonsterMaxHp,ItemType,DungeonClearReward
1,30,10,50002000,10,10,Gold,1000
2,30,10,50002000,10,10,Gold,2000
3,30,10,50002000,10,10,Gold,3000
4,30,10,50002000,10,10,Gold,4000
5,30,10,50002000,10,10,Gold,5000
6,30,15,50002000,10,10,Gold,6000
7,30,15,50002000,10,10,Gold,7000
8,30,15,50002000,10,10,Gold,8000
9,30,15,50002000,10,10,Gold,9000
10,30,15,50002000,10,10,Gold,10000
11,30,20,50002000,10,10,Gold,11000
12,30,20,50002000,10,10,Gold,12000
13,30,20,50002000,10,10,Gold,13000
14,30,20,50002000,10,10,Gold,14000
15,30,20,50002000,10,10,Gold,15000
16,30,25,50002000,10,10,Gold,16000
17,30,25,50002000,10,10,Gold,17000
18,30,25,50002000,10,10,Gold,18000
19,30,25,50002000,10,10,Gold,19000
20,30,25,50002000,10,10,Gold,20000
21,30,30,50002000,10,10,Gold,21000
22,30,30,50002000,10,10,Gold,22000
23,30,30,50002000,10,10,Gold,23000
24,30,30,50002000,10,10,Gold,24000
25,30,30,50002000,10,10,Gold,25000
26,30,35,50002000,10,10,Gold,26000
27,30,35,50002000,10,10,Gold,27000
28,30,35,50002000,10,10,Gold,28000
29,30,35,50002000,10,10,Gold,29000
30,30,35,50002000,10,10,Gold,30000
